,precision,recall,f1-score,support
pull through,0.0,0.0,0.0,123.0
placing rings,0.8023,1.0,0.8903,142.0
suture pick up,0.1892,1.0,0.3182,249.0
suture pull through,0.0,0.0,0.0,220.0
suture tie,0.0,0.0,0.0,781.0
uva pick up,0.6439,0.9515,0.7681,1486.0
uva pull through,0.0106,0.0033,0.005,611.0
uva tie,0.0,0.0,0.0,354.0
placing rings 2 arms,0.0,0.0,0.0,25.0
1 arm placing,0.243,1.0,0.391,87.0
2 arms placing,0.0,0.0,0.0,271.0
pull off,0.3067,1.0,0.4695,50.0
accuracy,0.4419,0.4419,0.4419,0.4419
macro avg,0.183,0.4129,0.2368,4399.0
weighted avg,0.2639,0.4419,0.32,4399.0
